timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
51370145673,-2,-1,-1,4,2,1,-1,-1
51370145673,-1,-1,-1,-1,3,-2,0,0
51370167552,-1,-1,1,-2,-6,0,-2,-2
51370167552,-2,-1,1,-3,2,1,-1,0
51370168297,-2,2,-1,5,3,0,-1,-1
51370168297,-1,-2,-2,-1,-2,1,-1,-1
51370198160,-1,-1,-1,-3,-1,-2,-1,2
51370198160,0,-3,-1,-1,0,1,0,-2
51370198944,-1,-2,0,-2,-6,-2,-1,0
51370198944,-1,-1,-1,-4,-2,-2,-2,-2
51370204970,0,0,0,0,-1,-1,-1,-2
51370204970,-1,0,1,0,-2,-2,-1,0
51370205721,0,-2,-1,2,0,1,0,-1
51370205721,-3,0,-2,0,0,-1,-2,-1
51370227502,-3,-4,-1,0,1,-1,0,0
51370227502,0,-2,-2,-4,-4,-2,-2,-2
51370228279,-2,-1,-1,-1,0,-1,-2,-2
51370228279,1,1,0,-4,-4,-2,-1,1
51370241746,-1,-1,-1,-5,4,0,-2,-2
51370241746,-2,0,0,4,-7,0,-1,-2
51370249987,1,-1,-1,-2,-1,-3,-1,-1
51370249987,-1,-3,0,3,3,2,1,-1
51370273320,-2,-3,-1,1,1,1,-2,-1
51370273320,0,-1,-2,-1,2,0,-1,-2
51370274023,-2,-2,-4,-11,-7,0,2,0
51370274023,0,-1,0,5,0,-2,-1,-1
51370287879,-2,0,-3,-4,-4,-2,-1,-2
51370287879,-2,1,-2,-2,-1,-1,0,-2
51370294980,-1,1,0,1,-1,-1,-1,-1
51370294980,-1,-1,-2,-6,-1,-1,-1,0
51370310683,-2,-2,-1,2,0,1,1,1
51370310683,-2,-2,0,1,5,-1,1,1
51370311458,-1,0,0,-6,-12,-4,-4,-1
51370311458,0,1,-1,3,-1,-3,-2,-2
51370325087,0,5,-3,-1,-3,-2,-2,-2
51370325087,0,-3,-2,0,-2,-1,-1,-1
51370325853,1,-2,-2,3,6,2,-2,-2
51370325853,-2,0,-3,-5,-3,0,0,0
51370347449,0,0,0,-5,-4,-2,-1,0
51370347449,-1,0,-2,-1,-2,0,-2,0
51370348248,-1,0,-1,0,-1,-1,0,-2
51370348248,-4,-3,0,0,0,0,0,1
51370370152,-1,-2,-2,-2,0,-2,0,-3
51370370152,-2,0,2,2,1,-1,-1,-4
51370370750,-1,-2,3,5,2,0,-1,-2
51370370750,0,1,-2,-2,-2,0,-1,-1
51370384965,1,-1,-1,2,1,-1,-1,-3
51370384965,-2,0,-3,-3,-3,-1,-2,1
