timestamp,x,y,z
51452147772,15.8125,16.625,-7.6875
51452169301,11.1875,-11.6875,18.375
51452183613,-8.875,-21.375,40
51452206769,-47.1875,-13.6875,38.5625
51452236761,-50.5,4.5,1.9375
51452251415,-6.625,19.5625,-31.125
51452267244,24.8125,9.25,-45.125
51452289328,-7.1875,2.5625,-34.125
51452310450,-3.8125,1.0625,-4.875
51452326813,17.125,9.625,11.5625
51452349357,20.5,9.1875,4.3125
51452370496,-3.3125,-0.375,-1.25
51452386772,-2.5625,-2.75,-7.8125
51452416765,-6,-11.125,-6.4375
51452430355,-16.0625,-6.9375,-2.8125
51452446774,-0.625,1.125,-0.125
51452469283,6.5,4.625,-0.8125
51452491751,3.125,11.75,-2.1875
51452506778,5.5,12.875,-1.3125
51452529370,5.4375,11.3125,6.8125
51452550320,-6.25,6.8125,5.8125
51452567019,-23.25,2.4375,-1.375
51452589273,-2.1875,-3.25,-5.8125
51452618110,12.375,-3.3125,0.875
51452626838,3,-3.5625,10.875
51452649285,-1.8125,-3.75,4.5
51452670255,6.5625,-0.9375,-4.9375
51452694252,10.5625,-1.3125,-14.25
51452716964,6.0625,-8,-21.4375
51452730511,-5.3125,-8.5,-15.125
51452746083,1.125,-4.9375,-4.75
51452769257,3.25,4.75,-2.8125
51452791830,16.625,10.625,-7.9375
51452806119,17,-1.0625,-10.5625
51452829356,1.5,-15.75,-10.1875
51452850345,-19.1875,-23.125,-11.75
51452866125,-29.3125,-18.25,-19.1875
51452896774,-18.875,-9.9375,-19.5
51452919306,-3.0625,-7.625,-15.75
51452926206,2.3125,-14.1875,-16.25
51452949262,5,-20.125,-17.25
51452971843,-0.8125,-15.9375,-18.375
51452994300,-10.5,-8.5,-14.3125
51453009303,-12.25,-12.3125,-12.8125
51453031818,5.25,-19.875,-16.8125
51453046141,7.8125,-15.4375,-21.3125
51453069837,-3.5,-9.125,-22.8125
51453099300,-4.375,-8.1875,-19.25
51453106147,8.25,-10.875,-18.3125
51453129387,16.8125,-8.875,-18.9375
51453151773,4.375,-6.75,-18.75
51453173045,-6.6875,-9.0625,-12.1875
51453196797,-7.5625,-17.125,-9.375
51453211813,2,-11.625,-9.6875
51453232903,-6.9375,5.875,-16.3125
